#mrk	kap	num	dos	ind	trd
d.0	do		oa_7	NULL	NULL
da.0	da		ekz_14	des	
da.0	da		uv_D	des	
da.0	da		akkor_de	des	
da.0	da		ekz_14	von	von (glaso da vino - Glas Wein)
da.0	da		uv_D	von	von (glaso da vino - Glas Wein)
da.0	da		akkor_de	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	ekz_14	des	
da.0.kuno	da	1	uv_D	des	
da.0.kuno	da	1	akkor_de	des	
da.0.kuno	da	1	ekz_14	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	uv_D	von	von (glaso da vino - Glas Wein)
da.0.kuno	da	1	akkor_de	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	ekz_14	des	
da.0.kvanta	da	2	uv_D	des	
da.0.kvanta	da	2	akkor_de	des	
da.0.kvanta	da	2	ekz_14	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	uv_D	von	von (glaso da vino - Glas Wein)
da.0.kvanta	da	2	akkor_de	von	von (glaso da vino - Glas Wein)
dacx.0o	daĉo		NULL	NULL	NULL
dacx.0o.rusa	daĉo		NULL	Datsche	
dacx.0o.rusa	daĉo		NULL	Bungalow	
dacx.0o.rusa	daĉo		NULL	Gartenhaus	
dadaism.0o	dadaismo		NULL	Dada	
dadaism.0o	dadaismo		NULL	Dadaismus	
dadaism.0o.BELA	dadaismo		NULL	Dada	
dadaism.0o.BELA	dadaismo		NULL	Dadaismus	
dadaist.0o	dadaisto		NULL	NULL	NULL
dadaist.0o.BELA	dadaisto		NULL	NULL	NULL
dafn.0o	dafno		NULL	Seidelbast	
dafn.0o.BOT	dafno		NULL	Seidelbast	
dagerotip.0o	dagerotipo		NULL	Daguerreotypie	
dagerotip.0o.FOT	dagerotipo		NULL	Daguerreotypie	
dagerotipi.0o	dagerotipio		NULL	Daguerreotypie	
dagerotipi.0o.FOT	dagerotipio		NULL	Daguerreotypie	
dagobert.0o	Dagoberto		NULL	NULL	NULL
dagobert.0o.NOM	Dagoberto		NULL	NULL	NULL
daimi.0o	daimio		NULL	NULL	NULL
daimi.0o.japana_princo	daimio		NULL	Daimyō	
dajak.0a	dajaka		NULL	NULL	NULL
dajak.0a.ETN	dajaka		NULL	NULL	NULL
dajak.0o	dajako		NULL	NULL	NULL
dajak.0o.ETN	dajako		NULL	NULL	NULL
dajmon.0o	dajmono		NULL	Dämon	
dajmon.0o	dajmono		NULL	Dämonion	
dajmon.0o.REL	dajmono		NULL	Dämon	
dajmon.0o.REL	dajmono		NULL	Dämonion	
dak.0o	Dako		NULL	NULL	NULL
dak.0o.cxefurbo	Dako		NULL	Dhaka	
dakar.0o	Dakaro		NULL	NULL	NULL
dakar.0o.urbo	Dakaro		NULL	Dakar	
dakot.norda0o	Norda Dakoto		NULL	NULL	NULL
dakot.norda0o	Norddakoto		NULL	NULL	NULL
dakot.norda0o.GEOG	Norda Dakoto		NULL	NULL	NULL
dakot.norda0o.GEOG	Norddakoto		NULL	NULL	NULL
dakot.suda0o	Suda Dakoto		NULL	NULL	NULL
dakot.suda0o	Suddakoto		NULL	NULL	NULL
dakot.suda0o.GEOG	Suda Dakoto		NULL	NULL	NULL
dakot.suda0o.GEOG	Suddakoto		NULL	NULL	NULL
daktil.0arbo	daktilarbo		NULL	Dattelpalme	
daktil.0arbo	daktilujo		NULL	Dattelpalme	
daktil.0arbo	daktilpalmo		NULL	Dattelpalme	
daktil.0arbo.BOT	daktilarbo		NULL	Dattelpalme	
daktil.0arbo.BOT	daktilujo		NULL	Dattelpalme	
daktil.0arbo.BOT	daktilpalmo		NULL	Dattelpalme	
daktil.0o	daktilo		NULL	NULL	NULL
daktil.0o.KUI	daktilo		NULL	Dattel	
daktil1.0o	daktilo		NULL	Daktylus	
daktil1.0o.POE	daktilo		NULL	Daktylus	
dal.0o	dalo		NULL	NULL	NULL
dal.0o.KUI	dalo		NULL	NULL	NULL
dalajlama.0o	dalajlamao		NULL	Dalai Lama	
dali.0o	dalio		oa_2	Dahlie	
dali.0o.BOT	dalio		oa_2	Dahlie	
dalmat.0o	dalmatiko		NULL	Dalmatika	
dalmati.0o	Dalmatio		NULL	Dalmatien	
dalton.0o	daltonismo		NULL	Farbblindheit	
dalton.0o	daltonismo		NULL	Farbenblindheit	
dalton.0o	daltonismo		NULL	Daltonismus	
dalton.0o.MED	daltonismo		NULL	Farbblindheit	
dalton.0o.MED	daltonismo		NULL	Farbenblindheit	
dalton.0o.MED	daltonismo		NULL	Daltonismus	
dalton.0ulo	daltonismulo		NULL	Farbenblinder	
dalton.0ulo.MED	daltonismulo		NULL	Farbenblinder	
dam.0o	damo		NULL	NULL	NULL
dam.0o.damluda	damo	1	NULL	Dame	
dam.0o.karta	damo	3	NULL	Dame [franca bildo]	
dam.0o.karta	damo	3	NULL	Ober [germana bildo]	
dam.0o.sxaka	damo	2	NULL	Dame	
dam.0oj0ludo	damoj		uv_D	Dame	Dame Spiel
dam.0oj0ludo	damludo		uv_D	Dame	Dame Spiel
dama.0o	damao		NULL	Damwild	
damagx.0i	damaĝi		NULL	schädigen	
damagx.0i	damaĝi		NULL	beschädigen	
damagx.0i	damaĝi		NULL	schaden	(jmd.) schaden
damagx.0i	damaĝi		NULL	Schaden zufügen	
damagx.0o	damaĝo		NULL	NULL	NULL
damagx.0o.perdo	damaĝo		NULL	Schaden	
damagx.0o.perdo	damaĝo		NULL	Schädigung	
damagx.0o.perdo	damaĝo		NULL	Beschädigung	
damask.0i	damaski		NULL	NULL	NULL
damask.0o	damasko		NULL	Damast	
damask1.0i	damaskeni		NULL	damaszieren	
damask1.0i.TEK	damaskeni		NULL	damaszieren	
damask2.D0o	Damasko		NULL	Damaskus	
damask2.D0o.GEOG	Damasko		NULL	Damaskus	
damian.0o	Damiano		NULL	Damian	
damian.0o.NOM	Damiano		NULL	Damian	
damn.0i	damni		NULL	verdammen	
damn.0i	damni		NULL	verfluchen	
damn.0i.REL	damni		NULL	verdammen	
damn.0i.REL	damni		NULL	verfluchen	
damn.0inda	damninda		NULL	verdammt	
damn.0inda	damna		NULL	verdammt	
damn.0inda	damninda		NULL	verdammenswert	
damn.0inda	damna		NULL	verdammenswert	
damn.0inda	damninda		NULL	verflucht	
damn.0inda	damna		NULL	verflucht	
damn.0inda.KOMUNE	damninda		NULL	verdammt	
damn.0inda.KOMUNE	damna		NULL	verdammt	
damn.0inda.KOMUNE	damninda		NULL	verdammenswert	
damn.0inda.KOMUNE	damna		NULL	verdammenswert	
damn.0inda.KOMUNE	damninda		NULL	verflucht	
damn.0inda.KOMUNE	damna		NULL	verflucht	
damn.0o	damno		NULL	Verdammnis	
damn.0o	damno		NULL	Fluch	
damn.0o.REL	damno		NULL	Verdammnis	
damn.0o.REL	damno		NULL	Fluch	
damp.0i	dampi		NULL	dämpfen	
damp.0i.FIG	dampi	2	NULL	dämpfen	
damp.0i.MUZ	dampi	1	NULL	dämpfen	
damp.0ilo	dampilo		NULL	NULL	NULL
damp.0ilo.MUZ	dampilo	1	NULL	Dämpfer	
damp.0ilo.TEK	dampilo	2	NULL	NULL	NULL
dan.0a	dana		NULL	dänisch	
dan.0o	dano		oa_8	Däne	
dan.0o	dano		oa_8	Dänin	
dan.0o.naciano	dano	2	oa_8	Däne	
dan.0o.naciano	dano	2	oa_8	Dänin	
dan.0o.sxtatano	dano	1	oa_8	Däne	
dan.0o.sxtatano	dano	1	oa_8	Dänin	
dan.D0ujo	Danujo		NULL	Dänemark	
dana.0idinoj	Danaidinoj		NULL	Danaiden	
dana.0idinoj.MIT	Danaidinoj		NULL	Danaiden	
dana.0idoj	Danaidoj		NULL	NULL	NULL
dana.0ino	Danaino		NULL	Danaë	
dana.0ino.MIT	Danaino		NULL	Danaë	
dana.0o	Danao		NULL	NULL	NULL
dana.0o.greko	Danao	3	NULL	Danaer	
dana.0o.grekoj	Danao	1	NULL	Danaer	
dana.0o.ino	Danao	2	NULL	Danaë	
dana.0o.inoj	Danao	2	NULL	Danaiden	
dana.0o.regxo	Danao	1	NULL	Danaos	
danc.0ado	dancado		ekz_13	NULL	NULL
danc.0ado	dancado		ekz_13	NULL	NULL
danc.0ado	dancado		uv_A	NULL	NULL
danc.0ado	dancado		uv_A	NULL	NULL
danc.0ado.MUZ	dancado		ekz_13	NULL	NULL
danc.0ado.MUZ	dancado		ekz_13	NULL	NULL
danc.0ado.MUZ	dancado		uv_A	NULL	NULL
danc.0ado.MUZ	dancado		uv_A	NULL	NULL
danc.0ejo	dancejo		NULL	Tanzsaal	
danc.0ejo	dancejo		NULL	Diskothek	
danc.0ejo	dancejo		NULL	Disko	
danc.0ejo	dancejo		NULL	Discothek	
danc.0ejo	dancejo		NULL	Disco	
danc.0ejo	dancejo		NULL	Ballsaal	
danc.0ejo.MUZ	dancejo		NULL	Tanzsaal	
danc.0ejo.MUZ	dancejo		NULL	Diskothek	
danc.0ejo.MUZ	dancejo		NULL	Disko	
danc.0ejo.MUZ	dancejo		NULL	Discothek	
danc.0ejo.MUZ	dancejo		NULL	Disco	
danc.0ejo.MUZ	dancejo		NULL	Ballsaal	
danc.0i	danci		ekz_20	tanzen	
danc.0i.MUZ	danci		ekz_20	tanzen	
danc.0istino	dancistino		NULL	NULL	NULL
danc.0istino.MUZ	dancistino		NULL	Tänzerin	
danc.0isto	dancisto		NULL	Tänzer	
danc.0isto.MUZ	dancisto		NULL	Tänzer	
danc.0o	danco		NULL	Tanz	
danc.0o.MUZ	danco		NULL	Tanz	
danc.for0i	fordanci		NULL	vertanzen	
danc.for0i	fordanci		NULL	vertändeln	
danc.for0i.KOMUNE	fordanci	1	NULL	abtanzen	
danc.for0i.KOMUNE	fordanci	1	NULL	vertanzen	
danc.for0i.KOMUNE	fordanci	1	NULL	vertändeln	
danc.klak0o	klakdanco		NULL	Stepptanz	
danc.klak0o.MUZ	klakdanco		NULL	Stepptanz	
danc.sxnur0isto	ŝnurdancisto		NULL	Seiltänzer	
danc.sxnur0isto.BELA	ŝnurdancisto		NULL	Seiltänzer	
dand.0i	dandi		NULL	NULL	NULL
dand.0o	dando		NULL	Dandy	
dand.0o	dando		NULL	Geck	
dand.0o	dando		NULL	Modenarr	
dand.0o	dando		NULL	Stutzer	
dangxe.0a	danĝera		NULL	gefährlich	
dangxe.0a.KOMUNE	danĝera		NULL	gefährlich	
dangxe.0i	danĝeri		NULL	gefährlich sein	
dangxe.0i.KOMUNE	danĝeri		NULL	gefährlich sein	
dangxe.0o	danĝero		ekz_7	Gefahr	
dangxe.0o.KOMUNE	danĝero		ekz_7	Gefahr	
dangxe.ekster0a	eksterdanĝera		NULL	Gefahr	außer Gefahr
dangxe.ekster0a.KOMUNE	eksterdanĝera		NULL	Gefahr	außer Gefahr
dangxe.en0igi	endanĝerigi		NULL	gefährden	
dangxe.en0igi	endanĝerigi		NULL	Gefahr bringen	in Gefahr bringen
dangxe.en0igi.KOMUNE	endanĝerigi		NULL	gefährden	
dangxe.en0igi.KOMUNE	endanĝerigi		NULL	Gefahr bringen	in Gefahr bringen
dangxe.okazo_de_0o	okazo de danĝero		NULL	Notfall	im Notfall
dangxe.okazo_de_0o	okaze de danĝero		NULL	Notfall	im Notfall
dangxe.sen0a	sendanĝera		NULL	NULL	NULL
dangxe.sen0a.KOMUNE	sendanĝera	1	NULL	ungefährlich	
dangxe.sen0a.KOMUNE	sendanĝera	1	NULL	gefahrlos	
dangxe.sen0a.eksterdangxera	sendanĝera	2	NULL	NULL	NULL
dangxe.sen0eco	sendanĝereco		NULL	Gefahrlosigkeit	
dangxe.sen0eco	sendanĝero		NULL	Gefahrlosigkeit	
dangxe.sen0eco	sendanĝereco		NULL	Ungefährlichkeit	
dangxe.sen0eco	sendanĝero		NULL	Ungefährlichkeit	
dangxe.sen0eco.KOMUNE	sendanĝereco		NULL	Gefahrlosigkeit	
dangxe.sen0eco.KOMUNE	sendanĝero		NULL	Gefahrlosigkeit	
dangxe.sen0eco.KOMUNE	sendanĝereco		NULL	Ungefährlichkeit	
dangxe.sen0eco.KOMUNE	sendanĝero		NULL	Ungefährlichkeit	
dani.D0o	Danio		NULL	Dänemark	
dani.D0o.GEOG	Danio		NULL	Dänemark	
daniel.0o	Danielo		NULL	Daniel	
daniel.0o	Daniel		NULL	Daniel	
daniel.0o.NOM	Danielo	1	NULL	Daniel	
daniel.0o.NOM	Daniel	1	NULL	Daniel	
daniel.0o.NOM	Danielo	1	NULL	Daniel	
daniel.0o.NOM	Daniel	1	NULL	Daniel	
daniel.0o.PERS	Danielo	2	NULL	Daniel	
daniel.0o.PERS	Daniel	2	NULL	Daniel	
daniel.0o.PERS	Danielo	2	NULL	Daniel	
daniel.0o.PERS	Daniel	2	NULL	Daniel	
dank.0a	danka		NULL	dankbar	
dank.0a.KOMUNE	danka		NULL	dankbar	
dank.0e	danke		NULL	NULL	NULL
dank.0e.maniero	danke	1	NULL	dankbar	
dank.0e.pro	danke	2	NULL	dank	
dank.0e_al	danke al		NULL	dank	dank [kun genitivo]
dank.0e_al	dank' al		NULL	dank	dank [kun genitivo]
dank.0e_al	danke ...-n		NULL	dank	dank [kun genitivo]
dank.0e_al.KOMUNE	danke al		NULL	dank	dank [kun genitivo]
dank.0e_al.KOMUNE	dank' al		NULL	dank	dank [kun genitivo]
dank.0e_al.KOMUNE	danke ...-n		NULL	dank	dank [kun genitivo]
dank.0ema	dankema		NULL	dankbar	
dank.0ema.KOMUNE	dankema		NULL	dankbar	
dank.0emo	dankemo		NULL	Dankbarkeit	
dank.0emo	dankemeco		NULL	Dankbarkeit	
dank.0emo.KOMUNE	dankemo		NULL	Dankbarkeit	
dank.0emo.KOMUNE	dankemeco		NULL	Dankbarkeit	
dank.0inda	dankinda		NULL	dankenswert	
dank.0o	danko		NULL	Dank	
dank.0o	dankado		NULL	Dank	
dank.mal0i	maldanki		NULL	verübeln	
dank.mal0i	maldanki		NULL	Undank	mit Undank belohnen
dank.mal0i.KOMUNE	maldanki		NULL	verübeln	
dank.mal0i.KOMUNE	maldanki		NULL	Undank	mit Undank belohnen
dank.ne_0inde	ne dankinde		NULL	gern geschehen!	
dank.ne_0inde	nedankinde		NULL	gern geschehen!	
dank.ne_0inde	ne dankinde		NULL	Ursache	keine Ursache!
dank.ne_0inde	nedankinde		NULL	Ursache	keine Ursache!
dank.ne_0inde	ne dankinde		NULL	dafür	nicht dafür!
dank.ne_0inde	nedankinde		NULL	dafür	nicht dafür!
dank.sen0a	sendanka		NULL	undankbar	
dank.sen0a.nekompensante	sendanka	2	NULL	undankbar	
dank.sen0a.nemontrante	sendanka	1	NULL	undankbar	
dank.sen0ulo	sendankulo		NULL	undankbare Person	
dank.sen0ulo	maldankulo		NULL	undankbare Person	
dank.sen0ulo	sendankulo		NULL	undankbarer Mensch	
dank.sen0ulo	maldankulo		NULL	undankbarer Mensch	
dank.sen0ulo	sendankulo		NULL	Undankbarer	
dank.sen0ulo	maldankulo		NULL	Undankbarer	
dank.sen0ulo.PSI	sendankulo		NULL	undankbare Person	
dank.sen0ulo.PSI	maldankulo		NULL	undankbare Person	
dank.sen0ulo.PSI	sendankulo		NULL	undankbarer Mensch	
dank.sen0ulo.PSI	maldankulo		NULL	undankbarer Mensch	
dank.sen0ulo.PSI	sendankulo		NULL	Undankbarer	
dank.sen0ulo.PSI	maldankulo		NULL	Undankbarer	
danub.D0o	Danubo		NULL	Donau	
daresalam.0o	Daresalamo		NULL	Daressalam	
daresalam.0o.regurbo	Daresalamo		NULL	Daressalam	
darf.0i	darfi		NULL	dürfen	
dari.0o	Dario		NULL	NULL	NULL
dari.0o.nomo	Dario		NULL	Darius	
darkemon.0o	darkemono		NULL	Dareikos	
darm.0o	Darmo		NULL	Dharma	
darm.0o.BUD	Darmo		NULL	Dharma	
darmapad.0o	Darmapado		NULL	Dhammapada	
darmapad.0o.BUD	Darmapado		NULL	Dhammapada	
darmsxtati.0o	darmŝtatio		NULL	Darmstadtium	
dartr.0o	dartro		NULL	Schorf	
dartr.0o	dartro		NULL	Flechte	
dartr.0o	dartro		NULL	Schuppenflechte	
dartr.0o	dartro		NULL	Hautflechte	
darvin.0ismo	darvinismo		NULL	Darwinismus	
darvin.0ismo.teorio	darvinismo		NULL	Darwinismus	
darvin.0o	Darvino		NULL	Darwin	Darwin (Charles Robert)
darvin.0o.PERS	Darvino		NULL	Darwin	Darwin (Charles Robert)
dat.0i	dati		NULL	festlegen	Zeitpunkt festlegen
dat.0i	dati		NULL	ausmachen	Zeitpunkt ausmachen
dat.0i	dati		NULL	festlegen	Datum festlegen
dat.0i	dati		NULL	ausmachen	Datum ausmachen
dat.0i	dati		NULL	Tag ausmachen	
dat.0i	dati		NULL	Termin festlegen	
dat.0i	dati		NULL	verabreden	sich (zeitlich) verabreden
dat.0i	dati		NULL	datieren	
dat.0i	dati		NULL	terminieren	
dat.0i.KOMUNE	dati		NULL	festlegen	Zeitpunkt festlegen
dat.0i.KOMUNE	dati		NULL	ausmachen	Zeitpunkt ausmachen
dat.0i.KOMUNE	dati		NULL	festlegen	Datum festlegen
dat.0i.KOMUNE	dati		NULL	ausmachen	Datum ausmachen
dat.0i.KOMUNE	dati		NULL	Tag ausmachen	
dat.0i.KOMUNE	dati		NULL	Termin festlegen	
dat.0i.KOMUNE	dati		NULL	verabreden	sich (zeitlich) verabreden
dat.0i.KOMUNE	dati		NULL	datieren	
dat.0i.KOMUNE	dati		NULL	terminieren	
dat.0igxi	datiĝi		NULL	datieren	
dat.0igxi	datiĝi		NULL	von [Jahreszahl] sein	
dat.0igxi.KOMUNE	datiĝi		NULL	datieren	
dat.0igxi.KOMUNE	datiĝi		NULL	von [Jahreszahl] sein	
dat.0o	dato		ekz_12	Zeitpunkt	
dat.0o	dato		ekz_12	Datum	
dat.0o	dato		ekz_12	Termin	
dat.0o.EVI	dato	2	ekz_12	Zeitpunkt	
dat.0o.EVI	dato	2	ekz_12	Datum	
dat.0o.EVI	dato	2	ekz_12	Termin	
dat.0o.KAL	dato		ekz_12	Zeitpunkt	
dat.0o.KAL	dato		ekz_12	Datum	
dat.0o.KAL	dato		ekz_12	Termin	
dat.0umi	datumi		NULL	NULL	NULL
dat.0umi.fiksi	datumi	1	NULL	Datum	ein Datum festlegen
dat.0umi.fiksi	datumi	1	NULL	datieren	
dat.0umo	datumo		NULL	Datierung	
dat.0umo.fiksado	datumo		NULL	Datierung	
dat.fresx0a	freŝdata		NULL	jüngst	
dat.fresx0a	freŝdata		NULL	kürzlich	
dat.fresx0a	freŝdata		NULL	soeben	
dat.fresx0a.KOMUNE	freŝdata		NULL	jüngst	
dat.fresx0a.KOMUNE	freŝdata		NULL	kürzlich	
dat.fresx0a.KOMUNE	freŝdata		NULL	soeben	
dat.gxis0a	ĝisdata		NULL	aktuell	
dat.gxis0a.KOMUNE	ĝisdata		NULL	aktuell	
dat.gxis0datigi	ĝisdatigi		NULL	aktualisieren	
dat.gxis0datigi.KOMUNE	ĝisdatigi		NULL	aktualisieren	
dat.lim0o	limdato		NULL	Frist	
dat.lim0o.KOMUNE	limdato		NULL	Frist	
dat.viv0oj	vivdatoj		NULL	Lebensdaten	
dat.viv0oj.GEN	vivdatoj		NULL	Lebensdaten	
data.0o	datao		NULL	NULL	NULL
data.0o.KOMP	datao		NULL	NULL	NULL
daten.0o	dateno		NULL	Datum	
daten.0o	dateno		NULL	Daten	Daten (plur.)
daten.0o.datumo	dateno		NULL	Datum	
daten.0o.datumo	dateno		NULL	Daten	Daten (plur.)
daten.0opo	datenopo		NULL	Datensatz	
daten.0opo.KOMP	datenopo		NULL	Datensatz	
datum.0banko	datumbanko		NULL	Datenbasis	
datum.0banko	datumbanko		NULL	Datensammlung	
datum.0banko.KOMP	datumbanko		NULL	Datenbasis	
datum.0banko.KOMP	datumbanko		NULL	Datensammlung	
datum.0baz_manipulilo	datumbaz-manipulilo		NULL	NULL	NULL
datum.0baz_manipulilo.KOMP	datumbaz-manipulilo		NULL	NULL	NULL
datum.0bazo	datumbazo		NULL	Datenbank	
datum.0bazo.KOMP	datumbazo		NULL	Datenbank	
datum.0o	datumo		NULL	Datum	
datum.0o	datumo		NULL	Daten	Daten (pl)
datum.0o.KOMP	datumo	2	NULL	Datum	
datum.0o.KOMP	datumo	2	NULL	Daten	Daten (pl)
datum.0o.SCI	datumo	1	NULL	Datum	
datum.0o.SCI	datumo	1	NULL	Daten	Daten (pl)
datum.0portilo	datumportilo		NULL	Datenträger	
datum.0portilo.KOMP	datumportilo		NULL	Datenträger	
datum.0strukturo	datumstrukturo		NULL	Datenstruktur	
datum.0strukturo.KOMP	datumstrukturo		NULL	Datenstruktur	
datur.0o	daturo		NULL	Stechapfel	
datur.0o.BOT	daturo		NULL	Stechapfel	
daux.0isto	daŭisto		NULL	Daoist	
daux.0isto	taoisto		NULL	Daoist	
daux.0isto	daŭisto		NULL	Taoist	
daux.0isto	taoisto		NULL	Taoist	
daux.0isto.REL	daŭisto		NULL	Daoist	
daux.0isto.REL	taoisto		NULL	Daoist	
daux.0isto.REL	daŭisto		NULL	Taoist	
daux.0isto.REL	taoisto		NULL	Taoist	
dauxb.0o	daŭbo		NULL	Daube	
dauxb.0o	daŭbo		NULL	Fassdaube	
dauxr.0a	daŭra		NULL	NULL	NULL
dauxr.0a.FON	daŭra	2	NULL	NULL	NULL
dauxr.0a.dauxranta	daŭra	1	NULL	andauernd	
dauxr.0a.dauxranta	daŭra	1	NULL	konstant	
dauxr.0a.dauxranta	daŭra	1	NULL	immerwährend	
dauxr.0e	daŭre		NULL	NULL	NULL
dauxr.0e.malmomente	daŭre	2	NULL	dauerhaft	
dauxr.0e.malmomente	daŭre	2	NULL	ständig	
dauxr.0e.malmomente	daŭre	2	NULL	dauernd	
dauxr.0e.plue	daŭre	1	NULL	fortwährend	
dauxr.0e.plue	daŭre	1	NULL	weiterhin	
dauxr.0e.plue	daŭre	1	NULL	andauernd	
dauxr.0eco	daŭreco		NULL	Haltbarkeit	
dauxr.0eco	daŭreco		NULL	Dauerhaftigkeit	
dauxr.0eco.KAL	daŭreco		NULL	Haltbarkeit	
dauxr.0eco.KAL	daŭreco		NULL	Dauerhaftigkeit	
dauxr.0i	daŭri		ekz_13	NULL	NULL
dauxr.0i.estadi	daŭri	1	ekz_13	dauern	
dauxr.0i.konservigxadi	daŭri	2	ekz_13	überdauern	
dauxr.0i.restadi	daŭri	3	ekz_13	andauern	
dauxr.0i.restadi	daŭri	3	ekz_13	fortdauern	
dauxr.0ige	daŭrige		NULL	andauernd	
dauxr.0ige	daŭrige		NULL	Zeit	die ganze Zeit über
dauxr.0igi	daŭrigi		NULL	NULL	NULL
dauxr.0igi.igi	daŭrigi	1	NULL	bestehen	bestehen lassen
dauxr.0igi.igi	daŭrigi	1	NULL	andauern	andauern lassen
dauxr.0igi.plueFari	daŭrigi	2	NULL	fortsetzen	
dauxr.0iginda	daŭriginda		NULL	fortsetzenswert	
dauxr.0iginda.KOMUNE	daŭriginda		NULL	fortsetzenswert	
dauxr.0igo	daŭrigo		uv_D	Fortsetzung	
dauxr.0o	daŭro		NULL	Dauer	
dauxr.0o	daŭro		NULL	Verlauf	Verlauf (Dauer)
dauxr.0o.KAL	daŭro		NULL	Dauer	
dauxr.0o.KAL	daŭro		NULL	Verlauf	Verlauf (Dauer)
dauxr.enpalpebruma0o	en palpebruma daŭro		NULL	Wimpernschlag	Wimpernschlag (Moment)
dauxr.enpalpebruma0o.KAL	en palpebruma daŭro		NULL	Wimpernschlag	Wimpernschlag (Moment)
dauxr.long0a	longdaŭra		NULL	anhaltend	lang anhaltend
dauxr.long0a	longedaŭra		NULL	anhaltend	lang anhaltend
dauxr.long0a.KAL	longdaŭra		NULL	anhaltend	lang anhaltend
dauxr.long0a.KAL	longedaŭra		NULL	anhaltend	lang anhaltend
dauxr.mal0a	maldaŭra		NULL	vorübergehend	
dauxr.mal0a	nedaŭra		NULL	vorübergehend	
dauxr.mal0a	sendaŭra		NULL	vorübergehend	
dauxr.mal0a	maldaŭra		NULL	provisorisch	
dauxr.mal0a	nedaŭra		NULL	provisorisch	
dauxr.mal0a	sendaŭra		NULL	provisorisch	
dauxr.mal0a	maldaŭra		NULL	temporär	
dauxr.mal0a	nedaŭra		NULL	temporär	
dauxr.mal0a	sendaŭra		NULL	temporär	
dauxr.mal0a.KAL	maldaŭra		NULL	vorübergehend	
dauxr.mal0a.KAL	nedaŭra		NULL	vorübergehend	
dauxr.mal0a.KAL	sendaŭra		NULL	vorübergehend	
dauxr.mal0a.KAL	maldaŭra		NULL	provisorisch	
dauxr.mal0a.KAL	nedaŭra		NULL	provisorisch	
dauxr.mal0a.KAL	sendaŭra		NULL	provisorisch	
dauxr.mal0a.KAL	maldaŭra		NULL	temporär	
dauxr.mal0a.KAL	nedaŭra		NULL	temporär	
dauxr.mal0a.KAL	sendaŭra		NULL	temporär	
dauxr.plu0i	pludaŭri		NULL	andauern	
dauxr.viv0o	vivdaŭro		NULL	Lebensdauer	
dauxr.viv0o.GEN	vivdaŭro		NULL	Lebensdauer	
david.0o	Davido		NULL	David	
david.0o	David		NULL	David	
david.0o.NOM	Davido	1	NULL	David	
david.0o.NOM	David	1	NULL	David	
david.0o.PERS	Davido	2	NULL	David	
david.0o.PERS	David	2	NULL	David	
dazip.0o	dazipo		NULL	Gürteltier	
dazipe.0oj	dazipedoj		NULL	Gürteltiere	Gürteltiere (Familie)
de.0	de		gra_fr	mit	
de.0	de		gra_fr	mit	
de.0	de		gra_en	mit	
de.0	de		gra_en	mit	
de.0	de		gra_de	mit	
de.0	de		gra_de	mit	
de.0	de		gra_ru	mit	
de.0	de		gra_ru	mit	
de.0	de		gra_pl	mit	
de.0	de		gra_pl	mit	
de.0	de		ekz_7	mit	
de.0	de		ekz_14	mit	
de.0	de		uv_D	mit	
de.0	de		uv_D	mit	
de.0	de		akkor_de	mit	
de.0	de		akkor_ru	mit	
de.0	de		gra_fr	des	
de.0	de		gra_fr	des	
de.0	de		gra_en	des	
de.0	de		gra_en	des	
de.0	de		gra_de	des	
de.0	de		gra_de	des	
de.0	de		gra_ru	des	
de.0	de		gra_ru	des	
de.0	de		gra_pl	des	
de.0	de		gra_pl	des	
de.0	de		ekz_7	des	
de.0	de		ekz_14	des	
de.0	de		uv_D	des	
de.0	de		uv_D	des	
de.0	de		akkor_de	des	
de.0	de		akkor_ru	des	
de.0	de		gra_fr	der	
de.0	de		gra_fr	der	
de.0	de		gra_en	der	
de.0	de		gra_en	der	
de.0	de		gra_de	der	
de.0	de		gra_de	der	
de.0	de		gra_ru	der	
de.0	de		gra_ru	der	
de.0	de		gra_pl	der	
de.0	de		gra_pl	der	
de.0	de		ekz_7	der	
de.0	de		ekz_14	der	
de.0	de		uv_D	der	
de.0	de		uv_D	der	
de.0	de		akkor_de	der	
de.0	de		akkor_ru	der	
de.0.aganto	de	4	gra_fr	von	
de.0.aganto	de	4	gra_fr	von	
de.0.aganto	de	4	gra_en	von	
de.0.aganto	de	4	gra_en	von	
de.0.aganto	de	4	gra_de	von	
de.0.aganto	de	4	gra_de	von	
de.0.aganto	de	4	gra_ru	von	
de.0.aganto	de	4	gra_ru	von	
de.0.aganto	de	4	gra_pl	von	
de.0.aganto	de	4	gra_pl	von	
de.0.aganto	de	4	ekz_7	von	
de.0.aganto	de	4	ekz_14	von	
de.0.aganto	de	4	uv_D	von	
de.0.aganto	de	4	uv_D	von	
de.0.aganto	de	4	akkor_de	von	
de.0.aganto	de	4	akkor_ru	von	
de.0.aganto	de	4	gra_fr	des	
de.0.aganto	de	4	gra_fr	des	
de.0.aganto	de	4	gra_en	des	
de.0.aganto	de	4	gra_en	des	
de.0.aganto	de	4	gra_de	des	
de.0.aganto	de	4	gra_de	des	
de.0.aganto	de	4	gra_ru	des	
de.0.aganto	de	4	gra_ru	des	
