# mrk	kap	num	dos	ind	trd
c.0	co		oa_7	NULL	NULL
cxar1.servo0eto	servoĉareto		NULL	Servierwagen	
cxar1.servo0eto	servoĉareto		NULL	Teewagen	
cxar1.servo0eto.HEJM	servoĉareto		NULL	Servierwagen	
cxar1.servo0eto.HEJM	servoĉareto		NULL	Teewagen	
cxarang.0o	ĉarango		NULL	Charango	
cxarang.0o.MUZ	ĉarango		NULL	Charango	
cxard.0o	ĉardo		NULL	NULL	NULL
cxard.0o.TUR	ĉardo		NULL	NULL	NULL
cxarla.0ajxo	ĉarlatanaĵo		NULL	Scharlatanerie	
cxarla.0i	ĉarlatani		NULL	quacksalbern	
cxarla.0i	ĉarlatani		NULL	schwindeln	
cxarla.0o	ĉarlatano		NULL	Scharlatan	
cxarla.0o.trompisto	ĉarlatano	2	NULL	Scharlatan	
cxarla.0o.vendisto	ĉarlatano	1	NULL	Scharlatan	
cxarm.0a	ĉarma		NULL	bezaubernd	
cxarm.0a	ĉarma		NULL	reizend	
cxarm.0a	ĉarma		NULL	charmant	
cxarm.0a	ĉarma		NULL	entzückend	
cxarm.0a	ĉarma		NULL	anmutig	
cxarm.0a	ĉarma		NULL	lieblich	
cxarm.0a	ĉarma		NULL	liebreizend	
cxarm.0a	ĉarma		NULL	süß	süß (niedlich)
cxarm.0i	ĉarmi		NULL	verzücken	
cxarm.0i	ĉarmi		NULL	bezaubern	
cxarm.0i	ĉarmi		NULL	entzücken	
cxarm.0i	ĉarmi		NULL	reizen	reizen (entzücken)
cxarm.0igi	ĉarmigi		NULL	Charm	Charm geben
cxarm.0igi	ĉarmigi		NULL	verführerisch	verführerisch machen
cxarm.0igi	ĉarmigi		NULL	Anmut	mit Anmut versehen
cxarm.0o	ĉarmo		NULL	Charme	
cxarni.0o	ĉarniro		NULL	Scharnier	
cxarni.0o.TEK	ĉarniro		NULL	Scharnier	
cxarpe.0ajxo	ĉarpentaĵo		NULL	Fachwerk	
cxarpe.0ajxo	ĉarpentaĵo		NULL	Gerüst	
cxarpe.0ajxo.KON	ĉarpentaĵo		NULL	Fachwerk	
cxarpe.0ajxo.KON	ĉarpentaĵo		NULL	Gerüst	
cxarpe.0i	ĉarpenti		NULL	zimmern	
cxarpe.0i.FIG	ĉarpenti	3	NULL	zimmern	
cxarpe.0i.kunmeti	ĉarpenti	2	NULL	zimmern	
cxarpe.0i.prilabori	ĉarpenti	1	NULL	zimmern	
cxarpe.0isto	ĉarpentisto		uv_C	Zimmermann	
cxarpe.0isto.KON	ĉarpentisto		uv_C	Zimmermann	
cxarpi.0o	ĉarpio		NULL	Charpie	
cxarpi.0o	ĉarpio		NULL	Zupflinnen	
cxart.0i	ĉarti		NULL	NULL	NULL
cxart.0i.TRA	ĉarti		NULL	chartern	
cxart.0o	ĉarto		NULL	NULL	NULL
cxart.0o.EKON	ĉarto	2	NULL	Befrachtungsvertrag	
cxart.0o.EKON	ĉarto	2	NULL	Chartervertrag	
cxart.0o.JUR	ĉarto	3	NULL	Charta	
cxart.0o.POL	ĉarto	1	NULL	Verfassungsurkunde	
cxart.0o.POL	ĉarto	1	NULL	Charta	
cxas.0ajxo	ĉasaĵo		uv_C	Jagdbeute	
cxas.0ajxo	ĉasaĵo		uv_C	Beute	
cxas.0ajxo.CXAS	ĉasaĵo		uv_C	Jagdbeute	
cxas.0ajxo.CXAS	ĉasaĵo		uv_C	Beute	
cxas.0ejo	ĉasejo		NULL	Jagdgrund	
cxas.0ejo.CXAS	ĉasejo		NULL	Jagdgrund	
cxas.0i	ĉasi		ekz_21	jagen	
cxas.0i.FIG	ĉasi	2	ekz_21	jagen	
cxas.0i.bestojn	ĉasi	1	ekz_21	jagen	
cxas.0isto	ĉasisto		NULL	Jäger	
cxas.0isto.CXAS	ĉasisto		NULL	Jäger	
cxas.0o	ĉaso		NULL	Jagen	
cxas.0o	ĉasado		NULL	Jagen	
cxas.0o	ĉaso		NULL	Jagd	
cxas.0o	ĉasado		NULL	Jagd	
cxas.0o.CXAS	ĉaso		NULL	Jagen	
cxas.0o.CXAS	ĉasado		NULL	Jagen	
cxas.0o.CXAS	ĉaso		NULL	Jagd	
cxas.0o.CXAS	ĉasado		NULL	Jagd	
cxas.kur0o	kurĉaso		NULL	Hetzjagd	
cxas.kur0o.CXAS	kurĉaso		NULL	Hetzjagd	
cxas.pel0o	pelĉaso		NULL	Treibjagd	
cxas.pel0o.timige	pelĉaso		NULL	Treibjagd	
cxas.post0i	postĉasi		NULL	verfolgen	
cxas.post0i.CXAS	postĉasi		NULL	verfolgen	
cxas.sxtel0i	ŝtelĉasi		NULL	wildern	
cxas.sxtel0i.CXAS	ŝtelĉasi		NULL	wildern	
cxasi.0o	ĉasio		oa_9	Fahrgestell	
cxasi.0o	ĉasio		oa_9	Chassis	
cxast.0a	ĉasta		NULL	NULL	NULL
cxast.0a.cxastiga	ĉasta	2	NULL	rein	
cxast.0a.cxastiga	ĉasta	2	NULL	sittsam	
cxast.0a.more	ĉasta	1	NULL	keusch	
cxast.0a.more	ĉasta	1	NULL	züchtig	
cxast.0a.more	ĉasta	1	NULL	unbefleckt	
cxast.0eco	ĉasteco		NULL	Keuschheit	
cxast.0eco.virto	ĉasteco		NULL	Keuschheit	
cxast.mal0a	malĉasta		NULL	unzüchtig	
cxast.mal0a	malĉasta		NULL	befleckt	
cxast.mal0a	malĉasta		NULL	unkeusch	
cxast.mal0a.voluptama	malĉasta		NULL	unzüchtig	
cxast.mal0a.voluptama	malĉasta		NULL	befleckt	
cxast.mal0a.voluptama	malĉasta		NULL	unkeusch	
cxast.mal0ajxo	malĉastaĵo		NULL	Unzucht	
cxast.mal0ajxo.seksumado	malĉastaĵo		NULL	Unzucht	
cxast.mal0eco	malĉasteco		NULL	Unzüchtigkeit	
cxast.mal0eco	malĉasteco		NULL	Unkeuschheit	
cxast.mal0eco.sinteno	malĉasteco		NULL	Unzüchtigkeit	
cxast.mal0eco.sinteno	malĉasteco		NULL	Unkeuschheit	
cxast.mal0ejo	malĉastejo		NULL	Puff	
cxast.mal0ejo	malĉastejo		NULL	Bordell	
cxast.mal0ejo	malĉastejo		NULL	Lasterhöhle	
cxast.mal0ejo.bordelo	malĉastejo		NULL	Puff	
cxast.mal0ejo.bordelo	malĉastejo		NULL	Bordell	
cxast.mal0ejo.bordelo	malĉastejo		NULL	Lasterhöhle	
cxast.mal0i	malĉasti		NULL	unzüchtig	
cxast.mal0i.malvirta	malĉasti	2	NULL	unzüchtig	
cxast.mal0i.seksumi	malĉasti	1	NULL	unzüchtig	
cxast.mal0istino	malĉastistino		NULL	Prosituierte	
cxast.mal0istino	malĉastulino		NULL	Prosituierte	
cxast.mal0istino	malĉastistino		NULL	Nutte	
cxast.mal0istino	malĉastulino		NULL	Nutte	
cxast.mal0istino.virino	malĉastistino		NULL	Prosituierte	
cxast.mal0istino.virino	malĉastulino		NULL	Prosituierte	
cxast.mal0istino.virino	malĉastistino		NULL	Nutte	
cxast.mal0istino.virino	malĉastulino		NULL	Nutte	
cxast.mal0isto	malĉastisto		NULL	Prosituierter	
cxast.mal0isto	malĉastulo		NULL	Prosituierter	
cxast.mal0isto	malĉastisto		NULL	Callboy	
cxast.mal0isto	malĉastulo		NULL	Callboy	
cxast.mal0isto.viro	malĉastisto		NULL	Prosituierter	
cxast.mal0isto.viro	malĉastulo		NULL	Prosituierter	
cxast.mal0isto.viro	malĉastisto		NULL	Callboy	
cxast.mal0isto.viro	malĉastulo		NULL	Callboy	
cxatisgar.0o	Ĉatisgaro		NULL	NULL	NULL
cxatisgar.0o.GEOG	Ĉatisgaro		NULL	NULL	NULL
cxatni.0o	ĉatnio		NULL	NULL	NULL
cxatni.0o.KUI	ĉatnio		NULL	NULL	NULL
cxe.0	ĉe		ekz_15	bei	
cxe.0	ĉe		uv_C	bei	
cxe.0	ĉe		akkor_fr	bei	
cxe.0	ĉe		akkor_de	bei	
cxe.0	ĉe		ekz_15	neben	
cxe.0	ĉe		uv_C	neben	
cxe.0	ĉe		akkor_fr	neben	
cxe.0	ĉe		akkor_de	neben	
cxe.0	ĉe		ekz_15	an	
cxe.0	ĉe		uv_C	an	
cxe.0	ĉe		akkor_fr	an	
cxe.0	ĉe		akkor_de	an	
cxe.0	ĉe		ekz_15	zu	
cxe.0	ĉe		uv_C	zu	
cxe.0	ĉe		akkor_fr	zu	
cxe.0	ĉe		akkor_de	zu	
cxe.0.cirkonstance	ĉe	2	ekz_15	bei	
cxe.0.cirkonstance	ĉe	2	uv_C	bei	
cxe.0.cirkonstance	ĉe	2	akkor_fr	bei	
cxe.0.cirkonstance	ĉe	2	akkor_de	bei	
cxe.0.cirkonstance	ĉe	2	ekz_15	neben	
cxe.0.cirkonstance	ĉe	2	uv_C	neben	
cxe.0.cirkonstance	ĉe	2	akkor_fr	neben	
cxe.0.cirkonstance	ĉe	2	akkor_de	neben	
cxe.0.cirkonstance	ĉe	2	ekz_15	an	
cxe.0.cirkonstance	ĉe	2	uv_C	an	
cxe.0.cirkonstance	ĉe	2	akkor_fr	an	
cxe.0.cirkonstance	ĉe	2	akkor_de	an	
cxe.0.cirkonstance	ĉe	2	ekz_15	zu	
cxe.0.cirkonstance	ĉe	2	uv_C	zu	
cxe.0.cirkonstance	ĉe	2	akkor_fr	zu	
cxe.0.cirkonstance	ĉe	2	akkor_de	zu	
cxe.0.space	ĉe	1	ekz_15	bei	
cxe.0.space	ĉe	1	uv_C	bei	
cxe.0.space	ĉe	1	akkor_fr	bei	
cxe.0.space	ĉe	1	akkor_de	bei	
cxe.0.space	ĉe	1	ekz_15	neben	
cxe.0.space	ĉe	1	uv_C	neben	
cxe.0.space	ĉe	1	akkor_fr	neben	
cxe.0.space	ĉe	1	akkor_de	neben	
cxe.0.space	ĉe	1	ekz_15	an	
cxe.0.space	ĉe	1	uv_C	an	
cxe.0.space	ĉe	1	akkor_fr	an	
cxe.0.space	ĉe	1	akkor_de	an	
cxe.0.space	ĉe	1	ekz_15	zu	
cxe.0.space	ĉe	1	uv_C	zu	
cxe.0.space	ĉe	1	akkor_fr	zu	
cxe.0.space	ĉe	1	akkor_de	zu	
cxe.0a	ĉea		NULL	nahebei	
cxe.0e	ĉee		NULL	da	
cxe.0e	ĉee		NULL	nahebei	
cxe.0i	ĉei		NULL	sein	da sein
cxe.0i	ĉei		NULL	sein	dabei sein
cxe.0igi	ĉeigi		NULL	annähern	
cxe.al0	ĉe ...-n		NULL	zu	zu (hin)
cxe.al0	al ĉe		NULL	zu	zu (hin)
cxe.de0	de ĉe		NULL	NULL	NULL
cxef.0	ĉef-		NULL	NULL	NULL
cxef.0a	ĉefa		NULL	NULL	NULL
cxef.0a.KOMUNE	ĉefa	1	NULL	Haupt-	
cxef.0a.MAT	ĉefa	2	NULL	NULL	NULL
cxef.0e	ĉefe		NULL	NULL	NULL
cxef.0i	ĉefi		NULL	NULL	NULL
cxef.0o	ĉefo		NULL	Chef	
cxef.0o.estro	ĉefo		NULL	Chef	
cxef.0ulo	ĉefulo		NULL	NULL	NULL
cxef.mal0a	malĉefa		NULL	NULL	NULL
cxef.mal0a.KOMUNE	malĉefa		NULL	NULL	NULL
cxehx.0a	ĉeĥa		NULL	tschechisch	
cxehx.0a.KOMUNE	ĉeĥa		NULL	tschechisch	
cxehx.0o	ĉeĥo		NULL	Tscheche	
cxehx.0o.naciano	ĉeĥo	2	NULL	Tscheche	
cxehx.0o.sxtatano	ĉeĥo	1	NULL	Tscheche	
cxehx.CX0oslovakujo	Ĉeĥoslovakujo		NULL	NULL	NULL
cxehx.CX0oslovakujo.GEOG	Ĉeĥoslovakujo		NULL	NULL	NULL
cxehx.CX0ujo	Ĉeĥujo		NULL	Tschechien	
cxehx.CX0ujo.GEOG	Ĉeĥujo		NULL	Tschechien	
cxehxi.CX0o	Ĉeĥio		NULL	Tschechien	
cxehxi.CX0o.GEOG	Ĉeĥio		NULL	Tschechien	
cxehxoslovaki.0o	Ĉeĥoslovakio		NULL	NULL	NULL
cxehxoslovaki.0o.GEOG	Ĉeĥoslovakio		NULL	Tschechoslowakei	
cxek.0aro	ĉekaro		NULL	Scheckheft	
cxek.0o	ĉeko		NULL	Scheck	
cxel.0aro	ĉelaro		NULL	NULL	NULL
cxel.0aro.BIO	ĉelaro	2	NULL	NULL	NULL
cxel.0aro.KOMUNE	ĉelaro	1	NULL	NULL	NULL
cxel.0o	ĉelo		NULL	Zelle	
cxel.0o.BIO	ĉelo	3	NULL	Zelle	
cxel.0o.cxambreto	ĉelo	1	NULL	Zelle	
cxel.0o.fako	ĉelo	2	NULL	Zelle	
cxel.0o.partia	ĉelo	4	NULL	Zelle	
cxel.blankasango0o	blanka sangoĉelo		NULL	NULL	NULL
cxel.blankasango0o.FIZL	blanka sangoĉelo		NULL	Blutkörperchen	weißes Blutkörperchen
cxel.blankasango0o.FIZL	blanka sangoĉelo		NULL	Leukozyt	Leukozyt [fak]
cxel.gli0o	gliĉelo		NULL	NULL	NULL
cxel.gli0o	glioĉelo		NULL	NULL	NULL
cxel.gli0o	glia ĉelo		NULL	NULL	NULL
cxel.gli0o.FIZL	gliĉelo		NULL	NULL	NULL
cxel.gli0o.FIZL	glioĉelo		NULL	NULL	NULL
cxel.gli0o.FIZL	glia ĉelo		NULL	NULL	NULL
cxel.imun0o	imunĉelo		NULL	NULL	NULL
cxel.imun0o.FIZL	imunĉelo		NULL	NULL	NULL
cxel.limfo0o	limfoĉelo		NULL	NULL	NULL
cxel.limfo0o.FIZL	limfoĉelo		NULL	NULL	NULL
cxel.melano0o	melanoĉelo		NULL	NULL	NULL
cxel.melano0o.FIZL	melanoĉelo		NULL	NULL	NULL
cxel.nervo0o	nervoĉelo		NULL	Nervenzelle	
cxel.nervo0o.FIZL	nervoĉelo		NULL	Nervenzelle	
cxel.ovo0o	ovoĉelo		NULL	NULL	NULL
cxel.ovo0o.FIZL	ovoĉelo		NULL	NULL	NULL
cxel.plasmo0o	plasmoĉelo		NULL	Plasmazelle	
cxel.plasmo0o.FIZL	plasmoĉelo		NULL	Plasmazelle	
cxel.plur0ulo	plurĉelulo		NULL	Mehrzeller	
cxel.plur0ulo.BIO	plurĉelulo		NULL	Mehrzeller	
cxel.pra0o	praĉelo		NULL	Stammzelle	
cxel.pra0o.BIO	praĉelo		NULL	Stammzelle	
cxel.rugxasango0o	ruĝa sangoĉelo		NULL	NULL	NULL
cxel.rugxasango0o.FIZL	ruĝa sangoĉelo		NULL	NULL	NULL
cxel.sun0o	sunĉelo		NULL	Solarzelle	
cxel.sun0o.TEK	sunĉelo		NULL	Solarzelle	
cxel.unu0ulo	unuĉelulo		NULL	Einzeller	
cxel.unu0ulo.BIO	unuĉelulo		NULL	Einzeller	
cxemiz.0o	ĉemizo		ekz_35	Hemd	
cxemiz.0o.TEKS	ĉemizo		ekz_35	Hemd	
cxemiz.nokto0o	noktoĉemizo		NULL	NULL	NULL
cxemiz.nokto0o.TEKS	noktoĉemizo		NULL	NULL	NULL
cxemiz.polo0o	poloĉemizo		NULL	NULL	NULL
cxemiz.polo0o.TEKS	poloĉemizo		NULL	NULL	NULL
cxemiz.to0o	to-ĉemizo		NULL	T-Shirt	
cxemiz.to0o.TEKS	to-ĉemizo		NULL	T-Shirt	
cxen.0ero	ĉenero		NULL	Kettenglied	
cxen.0ero.TEK	ĉenero		NULL	Kettenglied	
cxen.0i	ĉeni		NULL	anketten	
cxen.0i	ĉeni		NULL	Kette	an die Kette legen
cxen.0i	ĉeni		NULL	Ketten	in Ketten legen
cxen.0i.KOMUNE	ĉeni		NULL	anketten	
cxen.0i.KOMUNE	ĉeni		NULL	Kette	an die Kette legen
cxen.0i.KOMUNE	ĉeni		NULL	Ketten	in Ketten legen
cxen.0o	ĉeno		NULL	Kette	
cxen.0o.FIG	ĉeno	2	NULL	Kette	
cxen.0o.KOMP	ĉeno	4	NULL	String	
cxen.0o.KOMP	ĉeno	4	NULL	Liste	verkettete Liste
cxen.0o.KOMP	ĉeno	4	NULL	Kette	
cxen.0o.TEK	ĉeno	1	NULL	Kette	
cxen.0o.grafeo	ĉeno	3	NULL	Kantenzug	
cxen.0o.grafeo	ĉeno	3	NULL	Kette	
cxen.el0igi	deĉenigi		NULL	NULL	NULL
cxen.el0igi	elĉenigi		NULL	NULL	NULL
cxen.el0igi	senĉenigi		NULL	NULL	NULL
cxen.el0igi.FIG	deĉenigi	2	NULL	entfesseln	
cxen.el0igi.FIG	elĉenigi	2	NULL	entfesseln	
cxen.el0igi.FIG	senĉenigi	2	NULL	entfesseln	
cxen.el0igi.TEK	deĉenigi	1	NULL	NULL	NULL
cxen.el0igi.TEK	elĉenigi	1	NULL	NULL	NULL
cxen.el0igi.TEK	senĉenigi	1	NULL	NULL	NULL
cxen.el0igxi	elĉeniĝi		NULL	NULL	NULL
cxen.el0igxi.FIG	elĉeniĝi	2	NULL	NULL	NULL
cxen.el0igxi.KOMUNE	elĉeniĝi	1	NULL	befreien	sich befreien
cxen.el0igxi.KOMUNE	elĉeniĝi	1	NULL	Ketten	die Ketten abstreifen
cxen.el0igxo	elĉeniĝo		NULL	NULL	NULL
cxen.el0igxo.FIG	elĉeniĝo	2	NULL	NULL	NULL
cxen.el0igxo.KOMUNE	elĉeniĝo	1	NULL	NULL	NULL
cxen.en0igi	enĉenigi		NULL	NULL	NULL
cxen.en0igi	enĉenumi		NULL	NULL	NULL
cxen.en0igi.kateni	enĉenigi	1	NULL	anketten	
cxen.en0igi.kateni	enĉenumi	1	NULL	anketten	
cxen.en0igi.kateni	enĉenigi	1	NULL	Kette	an die Kette legen
cxen.en0igi.kateni	enĉenumi	1	NULL	Kette	an die Kette legen
cxen.en0igi.kateni	enĉenigi	1	NULL	Ketten	in Ketten legen
cxen.en0igi.kateni	enĉenumi	1	NULL	Ketten	in Ketten legen
cxen.en0igi.vicigi	enĉenigi	2	NULL	verketten	
cxen.en0igi.vicigi	enĉenumi	2	NULL	verketten	
cxen.kol0o	kolĉeno		NULL	Halskette	
cxen.kol0o.ornamo	kolĉeno		NULL	Halskette	
cxen.kun0igxo	kunĉeniĝo		NULL	NULL	NULL
cxen.kun0igxo.KOMUNE	kunĉeniĝo		NULL	Verkettung	
cxen.mangxo0o	manĝoĉeno		NULL	NULL	NULL
cxen.mangxo0o	nutroĉeno		NULL	NULL	NULL
cxen.mangxo0o	nutraĵoĉeno		NULL	NULL	NULL
cxen.mangxo0o.EKOL	manĝoĉeno		NULL	Nahrungskette	
cxen.mangxo0o.EKOL	nutroĉeno		NULL	Nahrungskette	
cxen.mangxo0o.EKOL	nutraĵoĉeno		NULL	Nahrungskette	
cxenaj.0o	Ĉenajo		NULL	NULL	NULL
cxenaj.0o.urbo	Ĉenajo		NULL	Chennai	
cxengdu.0o	Ĉengduo		NULL	NULL	NULL
cxeriz.0o	ĉerizo		NULL	Kirsche	
cxeriz.0ujo	ĉerizujo		NULL	Kirschbaum	
cxeriz.0ujo	ĉerizarbo		NULL	Kirschbaum	
cxerk.0a	ĉerka		NULL	NULL	NULL
cxerk.0a.FIG	ĉerka	2	NULL	Sarg-	
cxerk.0a.FIG	ĉerka	2	NULL	Beerdigungs-	
cxerk.0a.MOR	ĉerka	1	NULL	NULL	NULL
cxerk.0isto	ĉerkisto		NULL	NULL	NULL
cxerk.0isto.FUN	ĉerkisto		NULL	NULL	NULL
cxerk.0o	ĉerko		NULL	Sarg	
cxerk.0o.MOR	ĉerko		NULL	Sarg	
cxerk.0ujo	ĉerkujo		NULL	NULL	NULL
cxerk.0veturilo	ĉerkveturilo		NULL	Leichenwagen	
cxerk.0veturilo	ĉerkveturilo		NULL	Bestattungswagen	
cxerkes.0a	ĉerkesa		NULL	tscherkessisch	
cxerkes.0a.ETN	ĉerkesa		NULL	tscherkessisch	
cxerkes.0o	ĉerkeso		NULL	Tscherkesse	
cxerkes.0o.ETN	ĉerkeso		NULL	Tscherkesse	
cxernobil.0o	Ĉernobilo		NULL	Tschernobyl	
cxernobil.0o	Ĉornobilo		NULL	Tschernobyl	
cxernobil.0o	Ĉernobilo		NULL	Tschornobyl	
cxernobil.0o	Ĉornobilo		NULL	Tschornobyl	
cxernobil.0o.GEOG	Ĉernobilo		NULL	Tschernobyl	
cxernobil.0o.GEOG	Ĉornobilo		NULL	Tschernobyl	
cxernobil.0o.GEOG	Ĉernobilo		NULL	Tschornobyl	
cxernobil.0o.GEOG	Ĉornobilo		NULL	Tschornobyl	
cxernozem.0o	ĉernozemo		NULL	Schwarzerde	
cxernozem.0o.GRU	ĉernozemo		NULL	Schwarzerde	
cxerok.0o	ĉeroko		NULL	NULL	NULL
cxerok.0o.ETN	ĉeroko		NULL	NULL	NULL
cxerp.0eto	ĉerpeto		NULL	NULL	NULL
cxerp.0eto.KOMUNE	ĉerpeto		NULL	NULL	NULL
cxerp.0i	ĉerpi		ekz_13	schöpfen	
cxerp.0i.FIG	ĉerpi	2	ekz_13	schöpfen	
cxerp.0i.KOMUNE	ĉerpi	1	ekz_13	schöpfen	
cxerp.0ilo	ĉerpilo		NULL	Schöpfgefäß	
cxerp.0ilo	ĉerpilo		NULL	Kelle	
cxerp.0ilo.KUI	ĉerpilo		NULL	Schöpfgefäß	
cxerp.0ilo.KUI	ĉerpilo		NULL	Kelle	
cxerp.de0i	deĉerpi		NULL	abschöpfen	
cxerp.de0i.KOMUNE	deĉerpi		NULL	abschöpfen	
cxerp.el0i	elĉerpi		NULL	schöpfen	
cxerp.el0i	forĉerpi		NULL	schöpfen	
cxerp.el0i.cxion	elĉerpi		NULL	schöpfen	
cxerp.el0i.cxion	forĉerpi		NULL	schöpfen	
cxerp.el0ita	elĉerpita		NULL	NULL	NULL
cxerp.el0ita.FIZL	elĉerpita	2	NULL	erschöpft	
cxerp.el0ita.provizo	elĉerpita	1	NULL	alle	alle (leer)
cxerp.el0ita.provizo	elĉerpita	1	NULL	ausgeschöpft	
cxervonc.0o	ĉervonco		NULL	NULL	NULL
cxervonc.0o.MON	ĉervonco		NULL	NULL	NULL
cxes.0i	ĉesi		ekz_13	aufhören	
cxes.0i	ĉesi		ekz_13	enden	
cxes.0igi	ĉesigi		NULL	beenden	
cxes.0igi	ĉesigi		NULL	unterbrechen	
cxes.0igxi	ĉesiĝi		NULL	aufhören	allmählich aufhören
cxes.0igxi	ĉesiĝi		NULL	auslaufen	auslaufen (aufhören)
cxes.paf0igo	pafĉesigo		NULL	Feuerpause	
cxes.paf0igo	pafĉesigo		NULL	Waffenruhe	
cxes.sen0a	senĉesa		NULL	unaufhörlich	
cxes.sen0a	senĉesa		NULL	unendlich	
cxeval.0a	ĉevala		NULL	NULL	NULL
cxeval.0a.rilata	ĉevala		NULL	NULL	NULL
cxeval.0ajxo	ĉevalaĵo		NULL	Pferdefleisch	
cxeval.0ajxo.KUI	ĉevalaĵo		NULL	Pferdefleisch	
cxeval.0ejo	ĉevalejo		NULL	Pferdestall	
cxeval.0ejo	ĉevalejo		NULL	Koppel	
cxeval.0ejo.AGR	ĉevalejo		NULL	Pferdestall	
cxeval.0ejo.AGR	ĉevalejo		NULL	Koppel	
cxeval.0estro	ĉevalestro		NULL	Stallmeister	
cxeval.0eto	ĉevaleto		NULL	NULL	NULL
cxeval.0eto.FIG	ĉevaleto	2	NULL	Steckenpferd	
cxeval.0eto.FIG	ĉevaleto	2	NULL	Lieblingsbeschäftigung	
cxeval.0eto.FIG	ĉevaleto	2	NULL	Hobby	
cxeval.0eto.etacxevalo	ĉevaleto	1	NULL	Pferdchen	
cxeval.0ido	ĉevalido		NULL	Fohlen	
cxeval.0ido.ZOO	ĉevalido		NULL	Fohlen	
cxeval.0ino	ĉevalino		NULL	Stute	
cxeval.0ino.ZOO	ĉevalino		NULL	Stute	
cxeval.0isto	ĉevalisto		NULL	NULL	NULL
cxeval.0povo	ĉevalpovo		NULL	Pferdestärke	
cxeval.0povo	ĉevalpovo		NULL	PS	
cxeval.0povo.MEZ	ĉevalpovo		NULL	Pferdestärke	
cxeval.0povo.MEZ	ĉevalpovo		NULL	PS	
cxeval.CX0eto	Ĉevaleto		NULL	Füllen	Füllen (Sternbild)
cxeval.CX0eto.AST	Ĉevaleto		NULL	Füllen	Füllen (Sternbild)
cxeval.de0igxi	deĉevaliĝi		NULL	absitzen	absitzen (Pferd)
cxeval.de0igxi.RAJ	deĉevaliĝi		NULL	absitzen	absitzen (Pferd)
cxeval.kur0o	kurĉevalo		NULL	Rennpferd	
cxeval.kur0o.RAJ	kurĉevalo		NULL	Rennpferd	
cxeval.mar0eto	marĉevaleto		NULL	Seepferdchen	
cxeval.mar0eto.ZOO	marĉevaleto		NULL	Seepferdchen	
cxeval.sur0igxi	surĉevaliĝi		NULL	aufsitzen	aufsitzen (Pferd)
cxeval.sur0igxi.RAJ	surĉevaliĝi		NULL	aufsitzen	aufsitzen (Pferd)
cxeval.tir0o	tirĉevalo		NULL	Zugpferd	
cxeval.tir0o.AGR	tirĉevalo		NULL	Zugpferd	
cxeval.troja0o	troja ĉevalo		NULL	Trojanisches Pferd	
cxeval.troja0o	trojana ĉevalo		NULL	Trojanisches Pferd	
cxeval.troja0o.KOMP	troja ĉevalo	2	NULL	Trojanisches Pferd	
cxeval.troja0o.KOMP	trojana ĉevalo	2	NULL	Trojanisches Pferd	
cxeval.troja0o.KOMUNE	troja ĉevalo	1	NULL	Trojanisches Pferd	
cxeval.troja0o.KOMUNE	trojana ĉevalo	1	NULL	Trojanisches Pferd	
cxeval.vir0o	virĉevalo		NULL	Hengst	
cxeval.vir0o.ZOO	virĉevalo		NULL	Hengst	
cxevaled.0oj	ĉevaledoj		NULL	NULL	NULL
cxevaled.0oj.ekvedoj	ĉevaledoj		NULL	Pferde (Familie)	
cxevro.0o	ĉevrono		oa_4	NULL	NULL
cxevro.0o	ĉevrono		oa_4	NULL	NULL
cxevro.0o.KON	ĉevrono		oa_4	Dachsparren	
cxevro.0o.KON	ĉevrono		oa_4	Dachsparren	
cxi.0	ĉi		ekz_13	NULL	NULL
cxi.0	ĉi		uv_C	NULL	NULL
cxi.0.POE	ĉi	3	ekz_13	NULL	NULL
cxi.0.POE	ĉi	3	uv_C	NULL	NULL
cxi.0.modifilo	ĉi	1	ekz_13	NULL	NULL
cxi.0.modifilo	ĉi	1	uv_C	NULL	NULL
cxi.mal0	malĉi		NULL	NULL	NULL
cxi.mal0.modifilo	malĉi		NULL	NULL	NULL
cxia.0	ĉia		uv_C	jederart	
cxia.0	ĉia		akkor_en	jederart	
cxia.0	ĉia		uv_C	allerhand	
cxia.0	ĉia		akkor_en	allerhand	
cxia.0	ĉia		uv_C	jeglicher	
cxia.0	ĉia		akkor_en	jeglicher	
cxia.0	ĉia		uv_C	jedweder	
cxia.0	ĉia		akkor_en	jedweder	
cxial.0	ĉial		ekz_30	aus jedem beliebigen Grund	
cxiam.0	ĉiam		ekz_14	immer	
cxiam.0	ĉiam		uv_C	immer	
cxiam.0.ajnatempe	ĉiam	1	ekz_14	immer	
cxiam.0.ajnatempe	ĉiam	1	uv_C	immer	
cxiam.0.senhalte	ĉiam	2	ekz_14	immer	
cxiam.0.senhalte	ĉiam	2	uv_C	immer	
cxiam.0a	ĉiama		NULL	ewig	
cxiam.0a	ĉiama		NULL	immerwährend	
cxiam.0a	ĉiama		NULL	ständig	
cxiam.0a	ĉiama		NULL	stetig	
cxiam.0a.KOMUNE	ĉiama		NULL	ewig	
cxiam.0a.KOMUNE	ĉiama		NULL	immerwährend	
cxiam.0a.KOMUNE	ĉiama		NULL	ständig	
cxiam.0a.KOMUNE	ĉiama		NULL	stetig	
cxiam.por0a	porĉiama		NULL	immerwährend	
cxiam.por0a	porĉiama		NULL	ständig	
cxiam.por0a.KOMUNE	porĉiama		NULL	immerwährend	
cxiam.por0a.KOMUNE	porĉiama		NULL	ständig	
